X	Y
0	17.000000000
1	16.930318832
2	18.404506683
3	18.301736832
4	19.503417969
5	18.778257370
6	17.547250748
7	17.373586655
8	16.571517944
9	17.027938843
10	18.690572739
11	18.867752075
12	17.947687149
13	16.319658279
14	16.315959930
15	16.897932053
16	17.225273132
17	15.908118248
18	17.981861115
19	18.327793121
20	17.721134186
21	18.916143417
22	20.485431671
23	17.838891983
24	18.295452118
25	17.635566711
26	19.026012421
27	19.438835144
28	19.247150421
29	20.660737991
30	18.833108902
31	19.261789322
32	19.810873032
33	19.168071747
34	18.530918121
35	18.394950867
36	17.875944138
37	17.768337250
38	18.587341309
39	19.125442505
40	18.724468231
41	18.903985977
42	20.312883377
43	19.400230408
44	18.672290802
45	19.343189240
46	20.244871140
47	18.399150848
48	19.469703674
49	19.176370621
50	18.886392593
51	17.986539841
52	17.072153091
53	18.490306854
54	18.686826706
55	20.653507233
56	19.464965820
57	19.728944778
58	21.000000000
59	20.747961044
60	19.348381042
61	18.409011841
62	19.679466248
63	22.619768143
64	21.145263672
65	20.151254654
66	22.062322617
67	20.688236237
68	21.352022171
69	21.733728409
70	21.222604752
71	19.260704041
72	21.259511948
73	21.590606689
74	22.642972946
75	24.671070099
76	21.801471710
77	21.833955765
78	22.069688797
79	22.594171524
80	23.332160950
81	22.005752563
82	20.290826797
83	22.123636246
84	20.138473511
85	22.589147568
86	25.910419464
87	23.204898834
88	22.449460983
89	22.741174698
90	24.697387695
91	24.914831161
92	24.379444122
93	26.211160660
94	22.681253433
95	22.727001190
96	24.098226547
97	25.757541656
98	23.861640930
99	24.728063583
100	26.274866104
101	24.097719193
102	27.255933762
103	25.509237289
104	23.505466461
105	23.420845032
106	23.423860550
107	25.066566467
108	27.437374115
109	26.637670517
110	29.110305786
111	28.246419907
112	27.196956635
113	28.112110138
114	28.539621353
115	27.000659943
116	27.816503525
117	27.998971939
118	26.072000504
119	29.773090363
120	32.357105255
121	29.732301712
122	33.105567932
123	34.821895599
124	34.586360931
125	31.434883118
126	31.003219604
127	32.012725830
128	33.274951935
129	31.508649826
130	31.280101776
131	29.998088837
132	32.109935760
133	35.098636627
134	36.322387695
135	32.543788910
136	35.503154755
137	36.112186432
138	33.289508820
139	30.738010406
140	33.266155243
141	33.527446747
142	31.304939270
143	33.954818726
144	35.116783142
145	36.362636566
146	35.352325439
147	42.400821686
148	40.406349182
149	37.553936005
150	36.047649384
151	37.984626770
152	37.170249939
153	35.716304779
154	36.502464294
155	38.203468323
156	39.653205872
157	39.587074280
158	40.823089600
159	42.241275787
160	44.609252930
161	44.468170166
162	46.298408508
163	44.332344055
164	41.617683411
165	42.638122559
166	38.401817322
167	39.268638611
168	40.507263184
169	39.569114685
170	39.719848633
171	48.515476227
172	47.230682373
173	45.139053345
174	48.389671326
175	51.346168518
176	49.261135101
177	51.303413391
178	49.476730347
179	46.998294830
180	45.336051941
181	46.073665619
182	46.758548737
183	45.097576141
184	47.520244598
185	47.929725647
186	51.300045013
187	51.945915222
188	56.003028870
189	58.990367889
190	58.597995758
191	58.147701263
192	59.638202667
193	59.868217468
194	55.414127350
195	51.947395325
196	48.819000244
197	55.239467621
198	56.049690247
199	53.031234741
200	50.083705902
201	54.754878998
202	59.039482117
203	59.459533691
204	63.324619293
205	69.960739136
206	69.274833679
207	64.360649109
208	66.420356750
209	69.040954590
210	70.713088989
211	68.608947754
212	62.195743561
213	59.524875641
214	62.130603790
215	64.183387756
216	64.718193054
217	68.816833496
218	69.002311707
219	71.078033447
220	66.701065063
221	71.326004028
222	77.412948608
223	80.377944946
224	76.747932434
225	71.907699585
226	80.015609741
227	82.571449280
228	84.284461975
229	82.871765137
230	74.678924561
231	68.341430664
232	68.067970276
233	69.011306763
234	68.577087402
235	69.739273071
236	78.521972656
237	78.802543640
238	81.902832031
239	84.717445374
240	82.977478027
241	85.960983276
242	88.311111450
243	86.596580505
244	91.623451233
245	88.953750610
246	89.167030334
247	87.581420898
248	89.985115051
249	96.972640991
250	95.255599976
251	94.815383911
252	87.605026245
253	79.484863281
254	78.041557312
255	82.905357361
256	90.985313416
257	101.644638062
258	100.038444519
259	98.881462097
260	95.318748474
261	101.628074646
262	107.414703369
263	109.317558289
264	106.875808716
265	101.279693604
266	105.473999023
267	109.149108887
268	112.756332397
269	107.236000061
270	99.715866089
271	91.568504333
272	92.795387268
273	103.591751099
274	113.425750732
275	113.969650269
276	104.958427429
277	100.299613953
278	95.387695312
279	103.972251892
280	110.855445862
281	108.958503723
282	113.312202454
283	120.293281555
284	125.000000000
285	126.032661438
286	130.135803223
287	131.402923584
288	120.251968384
289	126.222282410
290	132.353958130
291	140.469604492
292	136.905426025
293	138.790878296
294	136.001083374
295	129.828430176
296	123.574913025
297	121.607383728
298	122.074951172
299	125.112396240
300	116.762931824
301	124.973472595
302	126.734939575
303	122.368453979
304	124.059143066
305	122.994926453
306	127.829940796
307	126.286460876
308	119.197219849
309	129.427230835
310	130.503723145
311	126.950752258
312	130.388961792
313	127.400108337
314	133.333297729
315	143.016082764
316	154.576797485
317	161.903060913
318	150.919784546
319	158.111328125
320	150.436798096
321	148.663467407
322	144.854324341
323	147.816604614
324	135.444747925
325	154.196868896
326	162.385528564
327	183.379547119
328	202.155532837
329	189.399841309
330	157.224914551
331	142.298309326
332	141.059036255
333	153.543716431
334	165.157058716
335	170.522674561
336	186.085083008
337	181.998123169
338	180.284057617
339	183.537506104
340	157.221740723
341	138.973419189
342	137.320343018
343	139.684402466
344	158.757781982
345	170.990905762
346	164.680770874
347	167.049163818
348	183.188659668
349	193.078964233
350	178.805984497
351	172.392150879
352	169.803604126
353	178.695251465
354	181.637496948
355	161.941925049
356	138.277648926
357	124.536743164
358	119.719299316
359	122.743560791
360	128.295684814
361	128.953720093
362	127.973449707
363	130.723022461
364	131.068786621
365	130.012435913
366	122.969009399
367	127.544525146
368	145.837295532
369	168.944458008
370	176.339385986
371	169.229339600
372	159.835922241
373	177.426605225
374	199.667510986
375	199.519531250
376	196.500686646
377	192.275497437
378	167.810806274
379	167.814025879
380	202.985443115
381	187.774093628
382	174.652816772
383	189.046096802
384	182.522293091
385	183.687850952
386	186.445022583
387	174.348327637
388	191.473678589
389	183.645706177
390	176.660903931
391	174.963043213
392	191.166137695
393	183.389068604
394	183.485198975
395	175.524749756
396	193.594512939
397	190.807312012
