X	Y
0	17.777778625
1	16.747827530
2	17.694160461
3	16.710672379
4	16.695766449
5	18.617488861
6	17.685373306
7	17.229166031
8	16.764171600
9	17.662132263
10	17.131896973
11	17.891582489
12	18.979591370
13	18.335176468
14	17.138889313
15	17.550027847
16	21.038549423
17	18.080074310
18	17.613378525
19	20.936153412
20	18.303853989
21	17.958333969
22	18.169029236
23	18.587940216
24	18.024942398
25	18.728647232
26	19.946428299
27	17.888038635
28	17.925926208
29	17.967758179
30	18.146259308
31	16.881896973
32	18.056690216
33	18.279478073
34	17.609977722
35	17.704860687
36	18.674602509
37	18.628141403
38	18.604024887
39	18.567388535
40	19.839757919
41	18.145053864
42	19.638889313
43	20.710411072
44	19.140588760
45	19.195152283
46	20.668933868
47	19.430273056
48	18.244897842
49	18.967592239
50	20.256519318
51	20.973426819
52	20.038171768
53	18.632652283
54	18.577665329
55	18.490905762
56	21.000000000
57	20.862882614
58	20.999244690
59	20.710954666
60	21.794784546
61	20.192436218
62	20.097505569
63	19.097221375
64	19.893424988
65	20.654903412
66	22.662414551
67	21.599088669
68	21.773242950
69	21.223711014
70	23.638889313
71	22.429988861
72	20.287981033
73	19.144250870
74	20.140588760
75	19.642431259
76	21.408163071
77	23.079860687
78	23.100339890
79	23.830192566
80	23.566892624
81	21.872661591
82	22.345426559
83	25.089994431
84	23.666666031
85	23.146045685
86	22.019842148
87	26.076318741
88	25.105819702
89	22.944940567
90	24.621030807
91	23.732639313
92	23.853740692
93	26.973001480
94	27.476095200
95	27.248086929
96	26.219955444
97	25.930650711
98	28.500000000
99	27.960458755
100	24.028345108
101	26.360048294
102	26.715986252
103	25.169029236
104	27.995464325
105	30.503471375
106	30.270313263
107	27.433603287
108	30.951246262
109	28.890165329
110	24.556121826
111	28.122236252
112	27.962963104
113	28.268848419
114	29.269842148
115	32.173423767
116	33.183673859
117	30.110755920
118	31.481954575
119	29.645833969
120	29.775510788
121	30.295587540
122	30.474773407
123	31.286848068
124	34.253589630
125	35.050312042
126	35.680557251
127	35.369781494
128	36.766441345
129	35.498935699
130	33.600151062
131	31.667161942
132	35.302722931
133	38.956020355
134	34.117630005
135	35.495464325
136	37.643989563
137	42.102394104
138	41.653911591
139	42.962490082
140	44.111110687
141	42.405044556
142	43.584468842
143	38.168224335
144	40.199546814
145	40.907901764
146	39.185939789
147	40.979167938
148	45.119049072
149	43.693664551
150	47.583332062
151	50.719291687
152	47.199546814
153	42.705074310
154	45.412036896
155	47.430412292
156	43.840137482
157	47.278369904
158	48.615077972
159	54.215774536
160	54.794406891
161	50.934028625
162	51.858276367
163	53.242416382
164	53.891155243
165	56.261905670
166	51.285713196
167	51.787910461
168	50.777778625
169	51.640731812
170	54.334751129
171	55.592899323
172	52.671581268
173	57.724205017
174	67.734695435
175	63.298610687
176	58.916099548
177	60.255668640
178	62.075302124
179	61.968677521
180	58.193878174
181	62.343208313
182	63.347221375
