X	Y
0	15.871999741
1	15.744000435
2	16.016000748
3	16.200000763
4	15.855999947
5	16.288000107
6	16.232000351
7	15.920000076
8	16.040000916
9	16.104000092
10	16.087999344
11	16.247999191
12	16.135999680
13	15.991999626
14	16.191999435
15	16.263999939
16	16.488000870
17	16.559999466
18	16.455999374
19	16.704000473
20	16.312000275
21	16.336000443
22	16.511999130
23	16.055999756
24	16.336000443
25	16.288000107
26	16.063999176
27	16.399999619
28	16.656000137
29	16.496000290
30	16.271999359
31	16.184000015
32	16.288000107
33	16.624000549
34	16.648000717
35	16.319999695
36	16.488000870
37	16.767999649
38	16.544000626
39	16.392000198
40	16.752000809
41	16.760000229
42	16.968000412
43	16.968000412
44	17.031999588
45	16.920000076
46	17.215999603
47	16.591999054
48	16.663999557
49	17.072000504
50	16.823999405
51	16.992000580
52	16.823999405
53	16.760000229
54	17.143999100
55	17.000000000
56	16.927999496
57	17.167999268
58	17.256000519
59	17.447999954
60	17.535999298
61	17.680000305
62	17.408000946
63	17.455999374
64	17.472000122
65	17.559999466
66	17.888000488
67	17.719999313
68	17.895999908
69	18.224000931
70	18.423999786
71	17.743999481
72	18.167999268
73	17.912000656
74	18.191999435
75	17.832000732
76	18.184000015
77	18.591999054
78	18.472000122
79	18.600000381
80	18.239999771
81	18.663999557
82	18.808000565
83	19.152000427
84	19.215999603
85	19.304000854
86	19.360000610
87	19.239999771
88	19.423999786
89	19.087999344
90	19.319999695
91	19.143999100
92	19.527999878
93	19.888000488
94	19.968000412
95	19.944000244
96	20.184000015
97	20.184000015
98	20.000000000
99	20.143999100
100	20.583999634
101	20.544000626
102	21.447999954
103	20.799999237
104	20.624000549
105	20.312000275
106	20.159999847
107	20.503999710
108	20.992000580
109	21.016000748
110	21.256000519
111	21.416000366
112	21.239999771
113	21.120000839
114	21.343999863
115	21.464000702
116	21.152000427
117	21.464000702
118	21.360000610
119	22.072000504
120	21.791999817
121	22.312000275
122	22.736000061
123	22.695999146
124	22.464000702
125	22.775999069
126	23.576000214
127	23.832000732
128	24.951999664
129	25.007999420
130	25.000000000
131	24.143999100
132	24.743999481
133	25.096000671
