X	Y
0	20.543478012
1	21.239130020
2	20.521739960
3	20.891304016
4	21.500000000
5	21.782608032
6	22.108695984
7	22.391304016
8	22.652173996
9	22.956521988
10	21.934782028
11	22.304347992
12	23.500000000
13	23.369565964
14	21.282608032
15	21.086956024
16	22.673913956
17	22.434782028
18	22.826086044
19	23.913043976
20	23.369565964
21	24.021739960
22	24.500000000
23	25.869565964
24	25.500000000
25	25.978260040
26	26.391304016
27	25.500000000
28	25.086956024
29	26.043478012
30	26.282608032
31	25.869565964
32	25.804347992
33	25.304347992
34	26.108695984
35	26.260869980
36	27.565217972
37	28.543478012
38	27.956521988
39	27.500000000
40	28.065217972
41	30.760869980
42	32.108695984
43	29.956521988
44	29.282608032
45	30.934782028
46	30.543478012
47	30.543478012
48	29.891304016
49	31.065217972
50	30.891304016
51	31.000000000
52	29.760869980
53	30.304347992
54	31.239130020
55	32.369564056
56	32.891304016
57	34.282608032
58	33.195652008
59	33.586956024
60	35.673912048
61	38.521739960
62	38.652172089
63	38.043479919
64	37.565216064
65	36.586956024
66	36.760868073
67	37.043479919
68	37.239131927
69	37.826087952
70	38.086956024
71	35.847827911
72	35.217391968
73	38.000000000
74	40.152172089
75	41.304347992
76	40.826087952
77	40.717391968
78	42.782608032
79	45.695652008
80	45.652172089
81	45.021739960
82	45.173912048
83	47.500000000
84	50.065216064
85	51.021739960
86	48.673912048
87	47.347827911
88	45.326087952
89	47.347827911
90	48.586956024
91	49.934783936
92	48.739131927
93	47.543479919
94	45.956520081
95	46.847827911
96	48.260868073
97	52.260868073
98	55.108695984
99	55.934783936
100	56.173912048
101	56.478260040
102	58.934783936
103	60.108695984
104	60.956520081
105	61.782608032
106	64.434783936
107	65.565216064
108	68.000000000
109	67.456520081
110	64.739128113
111	64.565216064
112	65.195655823
113	67.043479919
114	66.739128113
115	65.369567871
116	62.456520081
117	63.065216064
118	64.391304016
119	65.391304016
120	64.108695984
121	61.586956024
122	59.500000000
123	62.782608032
124	68.260871887
125	75.000000000
126	76.434783936
127	75.956520081
128	73.913040161
129	72.652175903
130	74.826087952
131	79.369567871
132	84.413040161
133	87.717391968
134	89.413040161
135	89.130432129
136	86.630432129
137	84.673912048
138	83.043479919
139	84.086959839
140	85.195655823
141	89.391304016
142	90.630432129
143	92.608695984
144	90.869567871
145	90.021736145
146	88.195655823
147	89.521736145
148	90.782608032
149	92.978263855
150	93.434783936
151	92.869567871
152	90.826087952
153	91.521736145
154	94.478263855
155	100.260871887
156	106.804344177
157	108.456520081
158	109.239128113
159	107.173912048
160	106.739128113
161	108.956520081
162	111.673912048
163	115.000000000
164	118.913040161
165	122.108695984
166	126.130432129
167	127.826087952
168	125.500000000
169	125.478263855
170	124.630432129
171	124.934783936
172	126.956520081
173	121.978263855
174	120.956520081
175	118.739128113
176	116.500000000
177	118.260871887
178	121.956520081
179	127.152175903
180	131.326080322
181	132.500000000
182	134.804351807
183	133.217391968
184	125.847824097
185	120.043479919
186	120.500000000
187	119.282608032
188	120.695655823
189	123.152175903
190	126.630432129
191	135.695648193
192	142.739135742
193	146.413040161
194	146.586959839
195	140.086959839
196	132.304351807
197	125.260871887
198	121.956520081
199	120.804344177
200	119.891304016
201	123.586959839
202	123.586959839
203	129.108688354
204	130.826080322
205	134.717391968
206	137.173919678
207	141.065216064
208	143.695648193
209	151.326080322
210	154.695648193
211	160.130432129
212	158.260864258
213	160.695648193
214	155.152175903
215	150.978256226
216	157.543472290
217	161.152175903
218	166.913040161
219	166.130432129
220	161.152175903
221	166.782608032
222	171.021743774
223	169.086959839
224	165.282608032
225	167.956527710
226	168.826080322
227	166.739135742
228	164.065216064
229	168.804351807
230	169.260864258
231	165.586959839
232	166.717391968
233	167.652175903
234	169.152175903
235	172.543472290
236	172.565216064
237	176.021743774
238	174.413040161
239	175.673919678
240	172.478256226
241	170.239135742
242	169.130432129
243	167.869567871
244	167.152175903
245	165.913040161
246	161.891311646
247	159.086959839
248	157.108688354
249	155.130432129
250	151.456527710
251	152.108688354
252	150.326080322
253	150.500000000
254	151.347824097
255	148.500000000
256	147.956527710
257	147.391311646
258	147.065216064
259	147.543472290
260	152.413040161
261	151.130432129
262	150.130432129
263	148.826080322
264	150.304351807
265	150.456527710
266	147.739135742
267	148.608688354
268	150.413040161
269	148.565216064
270	146.760864258
271	150.478256226
272	148.413040161
273	149.282608032
274	150.347824097
275	149.760864258
276	149.326080322
277	147.891311646
278	149.391311646
279	151.739135742
280	151.695648193
281	152.369567871
282	150.260864258
283	151.413040161
284	151.304351807
285	153.391311646
286	150.586959839
287	151.282608032
288	150.934783936
289	150.434783936
290	148.913040161
291	150.760864258
292	149.717391968
293	150.304351807
294	150.043472290
295	148.217391968
296	149.630432129
297	147.804351807
298	147.434783936
299	148.804351807
300	147.652175903
301	148.021743774
302	146.695648193
303	146.217391968
304	146.391311646
305	144.282608032
306	145.608688354
307	145.152175903
308	145.086959839
309	144.304351807
310	142.282608032
311	143.152175903
312	141.521743774
313	141.217391968
314	140.847824097
315	139.782608032
316	137.652175903
317	136.826080322
318	137.130432129
319	137.891311646
320	135.956527710
321	134.304351807
322	134.565216064
323	133.347824097
324	131.086959839
325	131.782608032
326	130.369567871
327	129.260864258
328	128.304351807
329	127.521736145
330	127.434783936
331	126.956520081
332	124.521736145
333	124.891304016
334	122.456520081
335	121.826087952
336	120.108695984
337	118.934783936
338	117.956520081
339	117.413040161
340	115.086959839
341	112.913040161
342	110.195655823
343	109.130432129
344	107.043479919
345	103.869567871
346	102.521736145
347	102.086959839
348	100.500000000
349	100.630432129
350	99.347824097
351	101.521736145
352	103.043479919
353	105.782608032
354	107.826087952
355	110.847824097
356	110.260871887
357	111.130432129
358	111.782608032
359	112.652175903
360	108.260871887
361	106.891304016
362	105.434783936
363	102.195655823
364	101.630432129
365	101.956520081
366	102.086959839
367	101.304344177
368	102.391304016
369	104.413040161
370	102.195655823
371	101.282608032
372	101.173912048
373	99.869567871
374	98.760871887
375	101.130432129
376	102.347824097
377	102.652175903
378	106.021736145
379	100.978263855
380	104.891304016
381	97.847824097
382	93.652175903
383	91.717391968
384	82.847824097
385	82.630432129
386	79.347824097
387	78.282608032
388	80.173912048
389	82.000000000
390	84.434783936
391	83.934783936
392	79.760871887
393	82.869567871
394	84.065216064
395	79.478263855
396	82.500000000
397	82.826087952
398	88.673912048
399	91.847824097
400	92.108695984
401	86.065216064
402	87.500000000
403	90.826087952
404	87.717391968
405	91.782608032
406	90.630432129
407	78.347824097
408	68.347824097
409	63.543479919
410	61.565216064
411	63.478260040
412	61.282608032
413	54.500000000
414	51.086956024
415	53.978260040
416	59.434783936
417	58.630435944
418	52.391304016
419	49.195652008
420	52.000000000
421	57.630435944
422	62.086956024
423	64.239128113
424	63.000000000
425	61.826087952
426	56.782608032
427	51.434783936
428	50.326087952
429	51.869564056
430	50.782608032
431	50.065216064
432	52.195652008
433	56.586956024
434	59.891304016
435	59.956520081
436	63.021739960
437	63.760868073
438	57.478260040
439	57.913043976
440	60.565216064
441	60.391304016
442	58.173912048
443	51.456520081
444	44.565216064
445	48.043479919
446	53.608695984
447	52.326087952
448	47.391304016
449	45.869564056
450	44.282608032
451	43.869564056
452	43.043479919
453	40.173912048
454	43.652172089
455	43.869564056
456	45.956520081
457	43.913043976
458	46.978260040
459	42.891304016
460	43.000000000
461	44.195652008
462	43.608695984
463	43.021739960
464	41.956520081
465	39.130435944
466	41.130435944
467	39.586956024
468	39.869564056
469	36.413043976
470	36.608695984
471	36.500000000
472	36.500000000
473	35.913043976
474	37.847827911
475	37.108695984
476	37.543479919
477	38.217391968
478	37.000000000
479	36.913043976
480	34.760868073
481	33.608695984
482	34.695652008
483	35.717391968
484	35.434783936
485	34.934783936
486	32.934783936
487	31.500000000
488	30.152173996
489	29.195652008
490	30.173913956
491	30.217391968
492	29.434782028
493	28.913043976
494	28.782608032
495	30.021739960
496	30.760869980
497	30.565217972
498	29.195652008
499	29.173913956
500	30.434782028
501	30.347826004
502	28.956521988
503	28.456521988
504	27.152173996
505	27.326086044
506	26.043478012
507	26.282608032
508	26.086956024
509	26.869565964
510	26.434782028
511	24.543478012
512	24.347826004
513	25.434782028
514	26.369565964
515	26.760869980
516	26.391304016
517	25.673913956
518	25.891304016
519	25.934782028
520	25.804347992
521	24.456521988
522	24.434782028
523	23.130434036
524	23.173913956
525	23.173913956
526	22.500000000
527	21.586956024
528	21.673913956
529	22.608695984
530	23.586956024
531	23.065217972
532	22.347826004
533	22.195652008
534	22.456521988
535	22.369565964
536	22.847826004
537	23.173913956
538	22.456521988
539	21.021739960
540	20.652173996
541	20.717391968
542	20.608695984
543	20.478260040
544	19.934782028
545	20.130434036
546	20.717391968
547	20.521739960
548	20.043478012
549	19.521739960
550	20.413043976
551	20.847826004
552	20.043478012
553	19.065217972
554	19.586956024
555	20.086956024
556	19.891304016
557	18.847826004
558	19.021739960
559	18.500000000
560	18.652173996
561	18.652173996
562	19.108695984
563	19.086956024
564	19.260869980
565	18.695652008
566	18.934782028
567	18.521739960
568	18.239130020
569	18.239130020
570	18.043478012
571	17.347826004
572	17.739130020
573	17.760869980
574	18.260869980
575	18.282608032
576	17.826086044
577	17.630434036
578	17.760869980
579	18.326086044
580	17.978260040
581	17.282608032
582	17.500000000
583	17.086956024
584	17.195652008
585	17.369565964
586	17.108695984
