X	Y
0	16.172412872
1	16.298851013
2	16.701148987
3	16.425287247
4	16.643678665
5	16.505746841
6	16.609195709
7	16.781608582
8	16.574712753
9	16.597702026
10	16.643678665
11	16.885057449
12	16.551723480
13	16.816091537
14	16.448276520
15	16.942529678
16	16.620689392
17	16.942529678
18	17.287355423
19	16.896551132
20	17.045976639
21	16.988506317
22	17.183908463
23	17.160919189
24	17.310344696
25	17.620689392
26	17.402297974
27	17.390804291
28	17.287355423
29	17.758621216
30	17.333333969
31	17.839080811
32	17.551723480
33	17.333333969
34	17.735631943
35	17.528736115
36	17.724138260
37	17.712644577
38	17.712644577
39	18.229885101
40	18.183908463
41	18.390804291
42	18.183908463
43	19.022989273
44	18.264368057
45	18.436780930
46	18.379310608
47	18.563219070
48	18.275861740
49	18.356321335
50	18.701148987
51	19.172412872
52	19.574712753
53	19.034482956
54	19.609195709
55	19.609195709
56	19.356321335
57	19.574712753
58	19.954023361
59	19.735631943
60	20.747125626
61	20.310344696
62	20.459770203
63	20.333333969
64	20.689655304
65	20.586206436
66	20.758621216
67	21.586206436
68	21.758621216
69	21.977010727
70	22.275861740
71	22.666666031
72	22.333333969
73	22.264368057
74	21.850574493
75	22.206895828
76	22.540229797
77	23.229885101
78	22.816091537
79	23.379310608
80	23.390804291
81	23.954023361
82	23.793104172
83	25.149425507
84	25.689655304
85	25.574712753
86	24.850574493
87	26.356321335
88	26.126436234
89	25.321838379
90	25.367816925
91	25.954023361
92	25.931034088
93	26.206895828
94	27.000000000
95	27.091953278
96	28.011493683
97	27.045976639
98	28.011493683
99	28.885057449
100	29.597702026
101	29.965517044
102	30.540229797
103	30.379310608
104	30.356321335
105	31.701148987
106	31.954023361
107	31.655172348
108	30.701148987
109	31.000000000
110	31.551723480
111	32.459770203
112	32.057472229
113	32.758621216
114	33.793102264
115	35.114940643
116	34.988506317
117	36.413791656
118	36.321838379
119	37.482757568
120	38.206897736
121	39.528736115
122	39.275863647
123	39.321838379
124	38.402297974
125	39.609195709
126	39.804595947
127	40.574710846
128	40.218391418
129	41.609195709
130	41.379310608
131	40.942527771
132	40.563217163
133	41.137931824
134	43.816093445
135	44.954021454
136	45.482757568
137	45.931034088
138	47.068965912
139	47.229885101
140	47.919540405
141	49.655174255
142	52.229885101
143	53.804595947
144	53.908046722
145	54.068965912
146	53.885059357
147	53.632183075
148	53.770114899
149	54.080459595
150	55.241378784
151	55.034481049
152	55.034481049
153	54.701148987
154	55.160919189
155	56.172412872
156	57.068965912
157	57.149425507
158	56.091953278
159	56.494251251
160	57.379310608
161	59.505748749
162	61.471263885
163	63.459770203
164	64.908042908
165	65.252876282
166	65.195404053
167	64.954025269
168	67.494255066
169	71.620689392
170	74.517242432
171	76.816093445
172	77.126434326
173	78.827583313
174	80.632186890
175	80.965515137
176	81.816093445
177	81.701148987
178	82.655174255
179	83.126434326
180	84.114944458
181	84.287353516
182	84.620689392
183	86.643676758
184	88.413795471
185	87.620689392
186	86.724136353
187	86.655174255
188	87.954025269
189	86.712646484
190	87.183906555
191	86.908042908
192	88.206893921
193	90.632186890
194	93.034484863
195	96.080459595
196	98.333335876
197	98.160919189
198	99.781608582
199	101.988502502
200	103.678161621
201	104.264366150
202	103.839080811
203	105.413795471
204	106.022987366
205	108.448272705
206	110.563217163
207	110.068962097
208	113.206893921
209	116.229881287
210	118.862068176
211	120.241378784
212	124.873565674
213	125.942527771
214	128.206893921
215	129.505752563
216	133.517242432
217	133.816085815
218	136.183914185
219	138.011489868
220	140.574707031
221	142.390808105
222	145.241378784
223	143.862075806
224	142.321838379
225	142.666671753
226	142.988510132
227	144.632186890
228	145.632186890
229	144.195404053
230	145.574707031
231	145.126434326
232	147.528732300
233	150.057464600
234	150.022994995
235	150.551727295
236	150.482757568
237	153.528732300
238	153.080459595
239	153.885055542
240	156.827590942
241	157.597702026
242	160.816085815
243	160.574707031
244	159.712646484
245	159.298843384
246	161.839080811
247	159.459762573
248	157.850570679
249	159.471267700
250	158.919540405
251	157.022994995
252	160.701156616
253	161.586212158
254	162.816085815
255	163.459762573
256	168.022994995
257	165.954025269
258	167.632186890
259	172.045974731
260	173.126434326
261	175.206893921
262	178.114944458
263	178.137924194
264	178.482757568
265	181.011489868
266	184.367813110
267	185.436782837
268	184.758621216
269	185.344833374
270	184.057464600
271	185.471267700
272	188.770111084
273	190.758621216
274	192.206893921
275	193.011489868
276	194.264373779
277	194.919540405
278	195.908050537
279	196.758621216
280	196.655166626
281	196.666671753
282	198.540237427
283	198.149429321
284	200.183914185
285	198.183914185
286	197.804595947
287	197.988510132
288	200.218383789
289	200.574707031
290	199.436782837
291	201.471267700
292	201.448272705
293	200.195404053
294	203.287353516
295	203.712646484
296	201.287353516
297	198.735626221
298	198.505752563
299	196.919540405
300	195.678161621
301	194.758621216
302	194.241378784
303	193.563217163
304	191.287353516
305	191.632186890
306	190.333328247
307	189.275863647
308	187.436782837
309	189.597702026
310	187.931030273
311	187.333328247
312	183.137924194
313	182.344833374
314	185.758621216
315	187.091949463
316	188.494247437
317	192.137924194
318	190.954025269
319	190.459762573
320	192.908050537
321	191.839080811
322	189.632186890
323	188.241378784
324	190.149429321
325	190.344833374
326	190.471267700
327	188.954025269
328	189.344833374
329	190.758621216
330	190.540237427
331	188.068969727
332	188.183914185
333	191.620697021
334	194.770111084
335	192.735626221
336	192.160919189
337	189.471267700
338	183.712646484
339	177.931030273
340	169.229888916
341	162.252868652
342	160.126434326
343	156.264373779
344	156.666671753
345	154.758621216
346	155.724136353
347	156.609191895
348	156.333328247
349	152.850570679
350	151.241378784
351	152.632186890
352	152.839080811
353	152.977005005
354	152.942535400
355	152.206893921
356	151.413787842
357	148.643676758
358	147.597702026
359	148.896545410
360	150.793106079
361	148.206893921
362	147.517242432
363	144.333328247
364	146.344833374
365	139.793106079
366	135.137924194
367	130.620697021
368	129.379302979
369	126.103446960
370	124.034484863
371	122.287353516
372	120.206893921
373	119.735633850
374	112.793106079
375	112.724136353
376	113.459770203
377	114.333335876
378	113.298851013
379	116.632186890
380	119.494255066
381	122.678161621
382	121.137931824
383	116.942527771
384	113.068962097
385	107.574714661
386	105.287353516
387	104.551727295
388	106.218391418
389	100.413795471
390	95.827583313
391	93.310348511
392	93.045974731
393	89.482757568
394	86.988502502
395	83.275863647
396	82.931037903
397	81.632186890
398	84.781608582
399	85.310348511
400	86.310348511
401	81.988502502
402	82.310348511
403	81.183906555
404	81.333335876
405	79.413795471
406	79.620689392
407	78.931037903
408	75.436782837
409	71.517242432
410	70.632186890
411	69.022987366
412	67.574714661
413	68.287353516
414	69.091957092
415	66.919540405
416	65.517242432
417	63.321838379
418	64.344825745
419	63.908046722
420	62.436782837
421	62.666667938
422	61.528736115
423	60.425289154
424	56.425289154
425	53.149425507
426	50.678161621
427	52.275863647
428	52.724136353
429	51.344825745
430	50.448276520
431	51.149425507
432	52.183906555
433	51.183906555
434	53.206897736
435	51.206897736
436	50.321838379
437	48.919540405
438	48.528736115
439	46.873561859
440	45.241378784
441	43.988506317
442	43.068965912
443	41.103446960
444	40.160919189
445	40.632183075
446	40.379310608
447	40.471263885
448	41.356323242
449	40.988506317
450	39.597702026
451	38.195404053
452	39.574710846
453	37.551723480
454	35.885059357
455	33.540229797
456	34.068965912
457	34.241378784
458	33.034481049
459	32.482757568
460	31.908046722
461	32.022987366
462	32.252872467
463	32.000000000
464	33.057472229
465	31.747125626
466	30.563219070
467	29.827587128
468	29.011493683
469	28.689655304
470	28.436780930
471	28.436780930
472	27.551723480
473	27.655172348
474	28.896551132
475	28.459770203
476	27.528736115
477	27.298851013
478	27.413793564
479	26.436780930
480	25.873563766
481	25.482759476
482	24.827587128
483	23.781608582
484	24.091953278
485	24.540229797
486	24.321838379
487	24.287355423
488	24.000000000
489	24.275861740
490	23.436780930
491	22.574712753
492	22.770114899
493	22.287355423
494	21.988506317
495	21.850574493
496	20.873563766
497	21.275861740
498	22.459770203
499	21.758621216
500	21.505746841
501	21.091953278
502	20.275861740
503	20.436780930
504	20.091953278
505	19.689655304
506	19.321838379
507	19.540229797
508	19.609195709
509	19.137931824
510	19.402297974
511	19.448276520
512	19.459770203
513	19.298851013
514	18.471263885
515	18.551723480
516	18.482759476
517	17.988506317
518	18.126436234
519	18.045976639
520	17.919540405
521	18.505746841
522	17.942529678
523	17.402297974
524	17.781608582
525	17.597702026
526	17.183908463
527	16.816091537
528	16.942529678
529	17.000000000
530	17.149425507
531	17.183908463
532	17.114942551
533	16.804597855
534	17.264368057
535	16.471263885
536	16.563219070
537	16.689655304
538	16.528736115
539	16.287355423
540	16.551723480
541	16.241378784
542	16.057470322
543	16.126436234
544	16.045976639
545	15.574712753
546	15.482758522
547	15.977011681
548	15.873562813
549	15.758620262
550	15.781609535
551	15.402298927
552	15.643677711
553	15.540229797
554	15.632184029
555	15.264368057
556	15.252873421
557	15.436781883
558	15.551724434
559	15.425287247
560	15.310344696
561	15.643677711
562	15.528735161
563	14.942528725
564	15.022988319
565	15.287356377
566	15.126437187
567	14.747126579
568	14.908045769
569	15.126437187
