X	Y
0	19.978723526
1	20.340425491
2	21.170213699
3	20.808509827
4	20.914894104
5	20.446807861
6	20.468084335
7	20.489360809
8	20.000000000
9	21.063829422
10	21.042552948
11	20.659574509
12	21.914894104
13	22.319149017
14	22.085105896
15	21.297872543
16	22.787233353
17	23.212766647
18	22.489360809
19	22.170213699
20	22.765956879
21	22.574468613
22	22.234043121
23	22.489360809
24	22.361701965
25	22.808509827
26	23.468084335
27	24.297872543
28	24.255319595
29	25.510639191
30	25.382978439
31	24.234043121
32	26.340425491
33	26.468084335
34	26.446807861
35	26.212766647
36	26.468084335
37	25.382978439
38	27.297872543
39	27.936170578
40	26.829786301
41	24.978723526
42	27.659574509
43	29.361701965
44	29.489360809
45	29.574468613
46	29.957447052
47	30.957447052
48	30.893617630
49	30.659574509
50	31.531915665
51	31.531915665
52	30.659574509
53	30.808509827
54	30.808509827
55	31.000000000
56	32.000000000
57	32.978721619
58	31.765956879
59	31.978723526
60	34.255317688
61	35.659572601
62	38.106384277
63	38.191490173
64	39.021278381
65	38.468086243
66	39.042552948
67	39.489360809
68	41.000000000
69	40.893615723
70	39.319149017
71	36.957447052
72	39.787235260
73	40.319149017
74	40.404254913
75	39.829788208
76	41.319149017
77	42.914894104
78	43.723403931
79	41.787235260
80	44.510639191
81	46.851062775
82	51.170211792
83	50.085105896
84	49.191490173
85	48.638298035
86	49.808509827
87	51.489360809
88	53.893615723
89	51.404254913
90	49.936168671
91	46.978721619
92	46.893615723
93	49.468086243
94	52.680850983
95	53.680850983
96	54.148937225
97	54.680850983
98	56.957447052
99	58.787235260
100	60.191490173
101	61.936168671
102	66.404258728
103	68.489364624
104	68.893615723
105	68.553192139
106	67.276596069
107	70.702125549
108	71.425529480
109	72.893615723
110	70.468086243
111	69.319145203
112	70.617019653
113	71.659576416
114	70.276596069
115	65.085105896
116	63.872341156
117	63.851062775
118	71.106384277
119	74.531913757
120	76.425529480
121	74.297874451
122	73.553192139
123	76.021278381
124	78.595741272
125	85.042556763
126	90.702125549
127	94.595741272
128	95.276596069
129	93.319145203
130	90.617019653
131	91.255317688
132	93.297874451
133	94.957443237
134	97.914894104
135	99.063827515
136	99.489364624
137	97.106384277
138	96.340423584
139	97.085105896
140	101.191490173
141	100.489364624
142	99.978721619
143	97.787231445
144	97.595741272
145	100.425529480
146	107.702125549
147	111.978721619
148	112.531913757
149	114.148933411
150	114.744682312
151	114.340423584
152	117.595741272
153	121.638298035
154	128.744674683
155	132.170211792
156	139.574462891
157	134.851058960
158	138.595748901
159	136.489364624
160	140.319152832
161	140.297866821
162	139.574462891
163	134.914886475
164	132.829788208
165	132.148941040
166	132.744674683
167	136.468078613
168	140.638290405
169	145.085113525
170	148.957443237
171	148.170211792
172	144.042556763
173	140.042556763
174	134.787231445
175	131.191482544
176	133.829788208
177	141.255325317
178	145.808517456
179	149.680847168
180	151.893615723
181	157.680847168
182	159.510635376
183	152.553192139
184	147.340423584
185	144.510635376
186	147.978729248
187	154.148941040
188	159.489364624
189	158.638290405
190	159.765960693
191	156.234039307
192	156.617019653
193	156.170211792
194	160.127655029
195	160.787231445
196	162.106384277
197	163.361709595
198	165.829788208
199	167.468078613
200	171.042556763
201	172.914886475
202	177.936172485
203	182.361709595
204	188.234039307
205	194.574462891
206	204.106384277
207	204.000000000
208	197.872344971
209	196.914886475
210	190.510635376
211	193.510635376
212	198.446807861
213	199.936172485
214	198.808517456
215	193.978729248
216	193.468078613
217	197.702133179
218	200.744674683
219	198.042556763
220	199.765960693
221	204.148941040
222	205.319152832
223	203.787231445
224	206.382980347
225	209.021270752
226	204.851058960
227	205.361709595
228	201.446807861
229	197.553192139
230	197.914886475
231	195.042556763
232	193.914886475
233	189.446807861
234	185.191482544
235	179.872344971
236	176.106384277
237	174.425537109
238	174.382980347
239	175.106384277
240	175.957443237
241	174.000000000
242	174.553192139
243	174.063827515
244	175.914886475
245	174.340423584
246	173.787231445
247	175.638290405
248	176.723403931
249	175.106384277
250	178.638290405
251	176.191482544
252	177.404251099
253	177.212768555
254	174.829788208
255	176.659576416
256	180.893615723
257	181.446807861
258	179.127655029
259	178.617019653
260	179.914886475
261	185.319152832
262	185.978729248
263	185.744674683
264	184.361709595
265	188.425537109
266	184.787231445
267	184.085113525
268	187.510635376
269	182.425537109
270	183.042556763
271	182.553192139
272	180.617019653
273	180.914886475
274	181.957443237
275	181.468078613
276	181.404251099
277	179.127655029
278	179.702133179
279	177.723403931
280	178.276596069
281	177.808517456
282	177.212768555
283	174.978729248
284	176.425537109
285	175.106384277
286	174.404251099
287	173.638290405
288	172.276596069
289	172.553192139
290	172.042556763
291	169.276596069
292	170.191482544
293	168.000000000
294	167.170211792
295	165.000000000
296	163.510635376
297	165.106384277
298	162.191482544
299	161.787231445
300	161.574462891
301	159.595748901
302	158.489364624
303	157.106384277
304	155.340423584
305	154.234039307
306	153.234039307
307	151.042556763
308	148.276596069
309	145.957443237
310	144.106384277
311	140.425537109
312	139.680847168
313	136.978729248
314	134.723403931
315	133.127655029
316	130.085113525
317	128.489364624
318	126.914894104
319	125.787231445
320	127.148933411
321	127.978721619
322	129.255325317
323	130.000000000
324	133.489364624
325	133.021270752
326	134.829788208
327	134.042556763
328	131.702133179
329	128.553192139
330	126.617019653
331	123.702125549
332	121.744682312
333	119.531913757
334	118.106384277
335	120.744682312
336	122.893615723
337	123.319145203
338	125.936172485
339	126.659576416
340	126.382980347
341	126.553192139
342	124.978721619
343	123.106384277
344	122.638298035
345	122.446807861
346	123.255317688
347	119.148933411
348	117.276596069
349	112.638298035
350	107.276596069
351	102.553192139
352	99.468086243
353	96.191490173
354	95.744682312
355	96.553192139
356	97.255317688
357	98.659576416
358	97.255317688
359	96.276596069
360	93.106384277
361	91.042556763
362	92.659576416
363	93.170211792
364	95.723403931
365	99.297874451
366	100.212768555
367	98.531913757
368	96.042556763
369	95.340423584
370	95.106384277
371	94.638298035
372	92.723403931
373	94.957443237
374	95.297874451
375	93.170211792
376	91.425529480
377	87.297874451
378	83.744682312
379	78.510635376
380	75.744682312
381	72.489364624
382	75.042556763
383	75.531913757
384	76.127662659
385	77.191490173
386	72.297874451
387	68.468086243
388	67.340423584
389	63.808509827
390	66.489364624
391	66.957443237
392	68.106384277
393	66.787231445
394	66.361701965
395	68.021278381
396	75.361701965
397	70.595741272
398	68.723403931
399	67.042556763
400	64.148933411
401	65.702125549
402	66.914894104
403	63.255317688
404	58.787235260
405	59.659572601
406	59.425533295
407	58.893615723
408	61.659572601
409	58.531913757
410	48.680850983
411	40.957447052
412	37.595745087
413	36.851062775
414	39.404254913
415	39.978721619
416	37.191490173
417	36.212764740
418	39.489360809
419	42.063831329
420	42.978721619
421	40.595745087
422	40.085105896
423	40.914894104
424	43.914894104
425	43.574466705
426	44.872341156
427	45.531913757
428	42.212764740
429	37.148937225
430	34.808509827
431	34.702129364
432	37.574466705
433	37.148937225
434	34.872341156
435	34.574466705
436	37.382980347
437	36.744682312
438	36.319149017
439	39.829788208
440	41.340427399
441	40.617019653
442	37.063831329
443	37.212764740
444	35.000000000
445	35.765956879
446	37.425533295
447	33.638298035
448	31.063829422
449	33.212764740
450	33.574466705
451	33.148937225
452	31.553192139
453	32.531913757
454	32.893615723
455	32.531913757
456	31.276596069
457	31.787233353
458	31.276596069
459	29.063829422
460	28.872341156
461	28.638298035
462	29.808509827
463	28.340425491
464	26.617021561
465	27.255319595
466	26.680850983
467	26.021276474
468	27.255319595
469	27.170213699
470	28.127658844
471	26.723403931
472	26.659574509
473	26.851064682
474	26.936170578
475	26.297872543
476	24.085105896
477	23.936170578
478	23.914894104
479	23.191490173
480	23.893617630
481	23.042552948
482	22.978723526
483	23.468084335
484	22.723403931
485	22.808509827
486	23.340425491
487	24.255319595
488	23.617021561
489	22.765956879
490	21.978723526
491	21.340425491
492	20.914894104
493	21.340425491
494	21.148935318
495	20.574468613
496	20.787233353
497	20.404254913
498	21.021276474
499	20.638298035
500	20.957447052
501	21.127658844
502	21.063829422
503	20.404254913
504	20.170213699
505	20.085105896
506	20.340425491
507	19.255319595
508	18.702127457
509	19.085105896
510	20.000000000
511	19.425531387
